AÑO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,CODPERSO,P201P,P203,P203A,P203B,P204,P205,P206,P207,P208A,P208B,P209,P210,P211A,P211D,P212,P213,P214,P215,P216,P217,OCUPAC_R3,OCUPAC_R4,RAMA_R3,RAMA_R4,CODTAREA,CODTIEMPO,T211,TICUEST01,FACPOB
2024,01,015009,022,11,010101,4,4,01,20240150090221101,1,1,1,1,2, ,1,52, ,2, , , ,1,1,1, , , , , , , , , , ,2,339.76591648557
2024,01,015009,022,11,010101,4,4,02,20240150090221102,2,1,2,1,2, ,2,47, ,2, , , ,2,2,2, , , , , , , , , , ,2,295.776571049962
2024,01,015009,022,11,010101,4,4,03,20240150090221103,3,1,3,1,2, ,1,18, ,6, , , ,3,3,3, , , , , , , , , , ,2,392.547179621175
2024,01,015009,022,11,010101,4,4,04,20240150090221104,3,1,3,1,2, ,2,11, , ,2,10, ,4,4,0, , , , , , , , , ,11,2,415.498038496145
2024,01,015009,047,11,010101,4,4,01,20240150090471101,1,1,1,1,2, ,2,39, ,5, , , ,1,1,1, , , , , , , , , , ,2,400.218362878378
2024,01,015009,047,11,010101,4,4,02,20240150090471102,3,1,3,1,2, ,2,19, ,6, , , ,2,2,2, , , , , , , , , , ,2,379.500678449864
2024,01,015009,047,11,010101,4,4,03,20240150090471103,3,1,3,1,2, ,2,8, , ,2,9, ,3,3,0, , , , , , , , , ,9,2,415.498038496145
2024,01,015009,071,11,010101,4,4,01,20240150090711101,1,1,1,1,2, ,1,53, ,1, , , ,1,1,1, , , , , , , , , , ,2,339.76591648557
2024,01,015009,071,11,010101,4,4,02,20240150090711102,2,1,2,1,2, ,2,45, ,1, , , ,2,2,2, , , , , , , , , , ,2,295.776571049962
2024,01,015009,084,11,010101,4,4,01,20240150090841101,1,1,1,1,2, ,1,30, ,1, , , ,1,1,1, , , , , , , , , , ,2,472.622352798641
2024,01,015009,084,11,010101,4,4,02,20240150090841102,2,1,2,1,2, ,2,27, ,1, , , ,2,2,2, , , , , , , , , , ,2,400.218362878378
2024,01,015009,084,11,010101,4,4,03,20240150090841103,3,1,3,1,2, ,2,9, , ,1, ,7,3,3,0, , , , , , , , , , ,2,415.498038496145
2024,01,015009,084,11,010101,4,4,04,20240150090841104,3,1,3,1,2, ,1,3, , , , , ,4,4,0, , , , , , , , , , ,2,403.757252944554
2024,01,015009,084,11,010101,4,4,05,20240150090841105,3,1,3,1,2, ,1,0,2, , , , ,0,5,0, , , , , , , , , , ,2,403.757252944554
2024,01,015009,106,11,010101,4,4,01,20240150091061101,1,1,1,1,2, ,1,41, ,1, , , ,1,1,1, , , , , , , , , , ,2,472.622352798641
2024,01,015009,106,11,010101,4,4,02,20240150091061102,2,1,2,1,2, ,2,31, ,1, , , ,2,2,2, , , , , , , , , , ,2,400.218362878378
2024,01,015009,106,11,010101,4,4,03,20240150091061103,3,1,3,1,2, ,1,4, , , , , ,3,3,0, , , , , , , , , , ,2,403.757252944554
2024,01,015009,106,11,010101,4,4,04,20240150091061104,3,1,3,1,2, ,1,4, , , , , ,4,4,0, , , , , , , , , , ,2,403.757252944554
2024,01,015009,118,11,010101,4,4,01,20240150091181101,1,1,1,1,2, ,1,39, ,2, , , ,1,1,1, , , , , , , , , , ,2,472.622352798641
2024,01,015009,118,11,010101,4,4,02,20240150091181102,2,1,2,1,2, ,2,42, ,2, , , ,2,2,2, , , , , , , , , , ,2,400.218362878378
2024,01,015009,118,11,010101,4,4,03,20240150091181103,3,1,3,1,2, ,2,2, , , , , ,0,3,0, , , , , , , , , , ,2,415.498038496145
2024,01,015009,118,11,010101,4,4,04,20240150091181104,3,0,1,2, ,2,2,14, ,6,2,10, ,0,0,0, , , , , , , , , ,11,2,379.500678449864
2024,01,015024,026,11,010101,4,4,01,20240150240261101,1,1,1,1,2, ,1,67, ,2, , , ,1,1,1, , , , , , , , , , ,2,250.799311271829
2024,01,015024,026,11,010101,4,4,02,20240150240261102,2,1,2,1,2, ,2,55, ,2, , , ,2,2,2, , , , , , , , , , ,2,344.290188523766
2024,01,015024,026,11,010101,4,4,03,20240150240261103,6,0,1,2, ,1,1,94, ,3, , , ,3,3,3, , , , , , , , , , ,2,250.799311271829
2024,01,015024,039,11,010101,4,4,01,20240150240391101,1,0,1,1,2, ,2,55, ,5, , , ,1,1,1, , , , , , , , , , ,2,344.290188523766
2024,01,015024,039,11,010101,4,4,02,20240150240391102,6,0,1,1,2, ,2,90, ,3, , , ,2,2,2, , , , , , , , , , ,2,262.968187894917
2024,01,015024,069,11,010101,4,4,01,20240150240691101,1,1,1,1,2, ,2,26, ,6, , , ,1,1,1, , , , , , , , , , ,2,465.862644620334
2024,01,015024,069,11,010101,4,4,02,20240150240691102,3,1,3,1,2, ,1,1, , , , , ,0,2,0, , , , , , , , , , ,2,469.981987554507
2024,01,015024,069,11,010101,4,4,03,20240150240691103,11,0,1,1,2, ,2,17, ,6,2,10, ,3,3,3, , , , , , , , , ,10,2,441.746821476032
2024,01,015024,083,11,010101,4,4,01,20240150240831101,1,1,1,1,2, ,1,59, ,1, , , ,1,1,1, , , , , , , , , , ,2,395.494717602251
2024,01,015024,083,11,010101,4,4,02,20240150240831102,2,1,2,1,2, ,2,48, ,1, , , ,2,2,2, , , , , , , , , , ,2,344.290188523766
2024,01,015024,123,11,010101,4,4,01,20240150241231101,1,1,1,1,2, ,2,29, ,1, , , ,1,1,1, , , , , , , , , , ,2,465.862644620334
2024,01,015024,123,11,010101,4,4,02,20240150241231102,2,1,2,1,2, ,1,32, ,1, , , ,2,2,2, , , , , , , , , , ,2,550.142421247095
2024,01,015024,123,11,010101,4,4,03,20240150241231103,3,1,3,1,2, ,2,0,4, , , , ,0,3,0, , , , , , , , , , ,2,483.648510418794
2024,01,015024,123,11,010101,4,4,04,20240150241231104,11,0,1,1,2, ,2,24, ,6, , , ,4,4,4, , , , , , , , , , ,2,441.746821476032
2024,01,015040,021,11,010307,7,5,01,20240150400211101,1,0,1,1,2, ,1,28, ,6, , , ,1,1,1, , , , , , , , , , ,2,923.959274656459
2024,01,015040,046,22,010307,7,5,01,20240150400462201,1,0,1,1,2, ,2,75, ,3, , , ,1,1,1, , , , , , , , , , ,2,441.652718934721
2024,01,015040,089,11,010307,7,5,01,20240150400891101,1,0,1,1,2, ,2,70, ,5, , , ,1,1,1, , , , , , , , , , ,2,441.652718934721
2024,01,015040,110,11,010307,7,5,01,20240150401101101,1,1,1,1,2, ,1,37, ,1, , , ,1,1,1, , , , , , , , , , ,2,923.959274656459
2024,01,015040,110,11,010307,7,5,02,20240150401101102,2,1,2,1,2, ,2,33, ,1, , , ,2,2,2, , , , , , , , , , ,2,782.412143817597
2024,01,015040,110,11,010307,7,5,03,20240150401101103,3,1,3,1,2, ,1,16, ,6,1, ,6,3,3,3, , , , , , , , , , ,2,767.41526337783
2024,01,015040,110,11,010307,7,5,04,20240150401101104,3,1,3,1,2, ,1,10, , ,2,10, ,4,4,0, , , , , , , , , ,11,2,789.330543421998
2024,01,015040,110,11,010307,7,5,05,20240150401101105,3,1,3,1,2, ,2,0,10, , , , ,0,5,0, , , , , , , , , , ,2,812.283346305545
2024,01,015040,110,11,010307,7,5,06,20240150401101106,10,0,1,1,2, ,1,58, ,5, , , ,6,6,6, , , , , , , , , , ,2,664.229839934683
2024,01,015040,132,11,010307,7,5,01,20240150401321101,1,1,1,1,2, ,2,34, ,5, , , ,1,1,1, , , , , , , , , , ,2,782.412143817597
2024,01,015040,132,11,010307,7,5,02,20240150401321102,3,1,3,1,2, ,1,10, , ,2,10, ,2,2,0, , , , , , , , , ,11,2,789.330543421998
2024,01,015040,132,11,010307,7,5,03,20240150401321103,3,1,3,1,2, ,2,5, , ,2,10, ,3,3,0, , , , , , , , , ,11,2,812.283346305545
2024,01,015040,153,11,010307,7,5,01,20240150401531101,1,1,1,1,2, ,2,43, ,5, , , ,1,1,1, , , , , , , , , , ,2,782.412143817597
2024,01,015040,153,11,010307,7,5,02,20240150401531102,3,1,3,1,2, ,2,6, , ,2,9, ,2,2,0, , , , , , , , , ,9,2,812.283346305545
2024,01,015040,153,11,010307,7,5,03,20240150401531103,3,0,1,2, ,2,1,27, ,6, , , ,0,0,0, , , , , , , , , , ,2,923.959274656459
2024,01,015052,012,11,010701,7,4,01,20240150520121101,1,1,1,1,2, ,1,37, ,2, , , ,1,1,1, , , , , , , , , , ,2,900.860292790047
2024,01,015052,012,11,010701,7,4,02,20240150520121102,2,1,2,1,2, ,2,37, ,2, , , ,2,2,2, , , , , , , , , , ,2,762.851840222157
2024,01,015052,012,11,010701,7,4,03,20240150520121103,3,1,3,1,2, ,1,14, ,6,2,10, ,3,3,3, , , , , , , , , ,11,2,748.229881793385
2024,01,015052,012,11,010701,7,4,04,20240150520121104,3,1,3,1,2, ,1,8, , ,2,10, ,4,4,0, , , , , , , , , ,11,2,769.597279836447
2024,01,015052,023,11,010701,7,4,01,20240150520231101,1,1,1,1,2, ,1,66, ,2, , , ,1,1,1, , , , , , , , , , ,2,410.684819526767
2024,01,015052,023,11,010701,7,4,02,20240150520231102,2,1,2,1,2, ,2,50, ,2, , , ,2,2,2, , , , , , , , , , ,2,563.77648416055
2024,01,015052,023,11,010701,7,4,03,20240150520231103,3,1,3,1,2, ,1,9, , ,2,10, ,3,3,0, , , , , , , , , ,11,2,769.597279836447
2024,01,015052,044,11,010701,7,4,01,20240150520441101,1,1,1,1,2, ,2,43, ,5, , , ,1,1,1, , , , , , , , , , ,2,762.851840222157
2024,01,015052,044,11,010701,7,4,02,20240150520441102,3,1,3,1,2, ,1,21, ,6, , , ,2,2,2, , , , , , , , , , ,2,748.229881793385
2024,01,015052,053,11,010701,7,4,01,20240150520531101,1,1,1,1,2, ,2,24, ,1, , , ,1,1,1, , , , , , , , , , ,2,723.362088733076
2024,01,015052,053,11,010701,7,4,02,20240150520531102,2,1,2,1,2, ,1,43, ,1, , , ,2,2,2, , , , , , , , , , ,2,900.860292790047
2024,01,015052,053,11,010701,7,4,03,20240150520531103,3,1,3,1,2, ,1,6, , ,2,10, ,3,3,0, , , , , , , , , ,11,2,769.597279836447
2024,01,015052,053,11,010701,7,4,04,20240150520531104,3,1,3,1,2, ,2,4, , , , , ,4,4,0, , , , , , , , , , ,2,791.976262647906
2024,01,015052,064,11,010701,7,4,01,20240150520641101,1,1,1,1,2, ,2,35, ,5, , , ,1,1,1, , , , , , , , , , ,2,762.851840222157
2024,01,015052,064,11,010701,7,4,02,20240150520641102,3,1,3,1,2, ,2,18, ,6, , , ,2,2,2, , , , , , , , , , ,2,723.362088733076
2024,01,015052,064,11,010701,7,4,03,20240150520641103,3,1,3,1,2, ,1,12, ,6,2,10, ,3,3,0, , , , , , , , , ,11,2,769.597279836447
2024,01,015052,064,11,010701,7,4,04,20240150520641104,3,1,3,1,2, ,1,11, , ,2,10, ,4,4,0, , , , , , , , , ,11,2,769.597279836447
2024,01,015052,064,11,010701,7,4,05,20240150520641105,3,1,3,1,2, ,1,11, , ,2,10, ,5,5,0, , , , , , , , , ,11,2,769.597279836447
2024,01,015052,074,11,010701,7,4,01,20240150520741101,1,1,1,1,2, ,1,40, ,1, , , ,1,1,1, , , , , , , , , , ,2,900.860292790047
2024,01,015052,074,11,010701,7,4,02,20240150520741102,2,1,2,1,2, ,2,32, ,1, , , ,2,2,2, , , , , , , , , , ,2,762.851840222157
2024,01,015052,074,11,010701,7,4,03,20240150520741103,3,1,3,1,2, ,2,18, ,6, , , ,3,3,3, , , , , , , , , , ,2,723.362088733076
2024,01,015052,074,11,010701,7,4,04,20240150520741104,3,1,3,1,2, ,1,13, ,6,1, ,8,4,4,0, , , , , , , , , , ,2,769.597279836447
2024,01,015052,074,11,010701,7,4,05,20240150520741105,3,1,3,1,2, ,2,11, , ,2,10, ,5,5,0, , , , , , , , , ,11,2,791.976262647906
2024,01,015058,020,11,010706,7,5,01,20210150580201101,1,1,1,1,2, ,1,66, ,2, , , ,1,1,1,1,0, , , , , , , , ,2,410.684819526767
2024,01,015058,020,11,010706,7,5,02,20210150580201102,2,1,2,1,2, ,2,55, ,2, , , ,2,2,2,2,0, , , , , , , , ,2,563.77648416055
