No;EXPEDIENTE;CODIGO OSINERGMIN;REGISTRO;RUC;RAZON SOCIAL;DIRECCION OPERATIVA;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO DE ESTABLECIMIENTO;TANQUE 1;TANQUE 2;TANQUE 3;TANQUE 4;TANQUE 5;TANQUE 6;TANQUE 7;TANQUE 8;TANQUE 9;TANQUE 10;CAP.TOTAL CL (gln);FEC. EMISION;TÉRMINO DE VIGENCIA;REPRESENTANTE;GLP EN CILINDROS (kg)
1;202300066799;113840;113840-050-290323;20600438051;ESTACION DE SERVICIOS BOQUERON S.A.C.;CAR.FEDERICO BASADRE KM. 177 C.P. BOQUERON;UCAYALI;PADRE ABAD;PADRE ABAD;ESTACIONES DE SERVICIOS;C1:10000:DIESEL B5;C1:5000:GASOLINA 90 C2:5000:GASOLINA 90;nan;nan;nan;nan;nan;nan;nan;nan;20000.0;29/03/2023;INDEFINIDO;CANTARO JAVIER, CESAR PAUL;0
2;202300152349;20999;20999-050-190623;20490011341;ESTACION DE SERVICIOS LAS VEGAS'S S.R.L.;AV. VENEZUELA N° 110;APURIMAC;ABANCAY;ABANCAY;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:5000:Diesel B5 S-50;C1:2000:GASOHOL PREMIUM;C1:2000:GASOHOL REGULAR;nan;nan;nan;nan;nan;nan;nan;9000.0;19/06/2023;INDEFINIDO;AMERICO PASTOR HERRERA;0
3;202300254594;18689;18689-050-191223;20602544002;COMPAÑIA OPERADORA DE LA SELVA S.A.;AV. MIRAFLORES/ARBORIZACION NRO. 1439;UCAYALI;CORONEL PORTILLO;YARINACOCHA;ESTACIONES DE SERVICIOS;C1:2600:GASOHOL REGULAR;C1:6366:DIESEL B5;C1:3500:GASOHOL REGULAR;C1:3149:DIESEL B5;C1:1200:GASOHOL PREMIUM;C1:2656:DIESEL B5;nan;nan;nan;nan;19471.0;19/12/2023;INDEFINIDO;MARLY PATRICIA RENGIFO RÍOS;0
4;202200123413;120796;120796-050-240822;20602783147;PETROCENTROS UNIDOS MINORISTAS ARRASCUE SERRANO E.I.R.L.;PREDIO QUEVEDO MZ. A LOTES 1 Y 2;LA LIBERTAD;TRUJILLO;MOCHE;ESTACIONES DE SERVICIOS;C1:5390:Diesel B5 S-50;C1:2135:GASOHOL 90 PLUS;nan;nan;nan;nan;nan;nan;nan;nan;7525.0;24/08/2022;INDEFINIDO;GENDER ARRASCUE SERRANO;0
5;202300127265;136503;136503-050-050623;10091328025;ALEJANDRO HUATAQUISPE HUAUYA;AV. AVIACIÓN ESQUINA VIA DE EVITAMIENTO MZ A LOTE 15 AAHH LA FORTALEZA;UCAYALI;CORONEL PORTILLO;MANANTAY;ESTACIONES DE SERVICIOS;C1:6000:DIESEL B5;C1:3000:GASOLINA REGULAR C2:3000:GASOLINA REGULAR;nan;nan;nan;nan;nan;nan;nan;nan;12000.0;05/06/2023;INDEFINIDO;ALEJANDRO HUATAQUISPE HUAUYA;480
6;202300166114;169327;169327-050-090823;10039009221;CASTILLO CORDOVA VICTOR;CARRETERA FERNANDO BELAUNDE TERRY KM. 61 + 700 - CENTRO POBLADO NUEVO JAEN;SAN MARTIN;MARISCAL CACERES;CAMPANILLA;ESTACIONES DE SERVICIOS;C1:3000:Diesel B5 S-50;C1:3000:GASOLINA 84;C1:3000:GASOLINA REGULAR;nan;nan;nan;nan;nan;nan;nan;9000.0;09/08/2023;INDEFINIDO;CASTILLO CORDOVA VICTOR;0
7;202300135776;112964;112964-050-030723;20528919902;SERVICIOS GENERALES PONCE DE LA ROSA SOCIEDAD ANONIMA CERRADA;ANEXO DE SANTA CRUZ DE MATI CHICO LOTE 2, ALTURA DEL KM. 375 DE LA CARRETERA LIMA-HUANUCO;HUANUCO;AMBO;AMBO;ESTACIONES DE SERVICIOS;C1:4000:Diesel B5 S-50;C1:2000:GASOHOL REGULAR C2:1000:GASOHOL PREMIUM;nan;nan;nan;nan;nan;nan;nan;nan;7000.0;03/07/2023;INDEFINIDO;RUBEN DARIO PONCE DE LA ROSA;0
8;201500167478;116412;116412-050-151215;10732315638;ALEXANDERS ARRIAGA HUAMAN;PISTA HUACARPAY - HUAMBUTIO CENTRO POBLADO ANEXO ILLAPATA;CUSCO;QUISPICANCHI;LUCRE;ESTACIONES DE SERVICIOS;C1:9000:Diesel B5 S-50;C1:9000:Diesel B5 S-50;C1:5000:GASOHOL 84 PLUS;C1:5000:GASOHOL 90 PLUS;nan;nan;nan;nan;nan;nan;28000.0;15/12/2015;INDEFINIDO;ALEXANDERS ARRIAGA HUAMAN;0
9;202300079865;19844;19844-050-230423;20601755506;PETROCENTRO LUAND E.I.R.L.;AV. EL EJERCITO Nº 663;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;ESTACIONES DE SERVICIOS;C1:5000:Diesel B5 S-50;C1:5000:Diesel B5 S-50;C1:5000:GASOHOL REGULAR;C1:3050:GASOHOL REGULAR;C1:3050:GASOHOL PREMIUM;nan;nan;nan;nan;nan;21100.0;23/04/2023;INDEFINIDO;LUISA ANDIA PECEROS;240
10;202200181763;20012;20012-050-220922;20490224336;LEOCUPER REPRESENTACIONES EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;AV. INAMBARI MZA. 28, LOTE 13 - MAZUKO;MADRE DE DIOS;TAMBOPATA;INAMBARI;ESTACIONES DE SERVICIOS;C1:5400:Diesel B5 S-50;C1:2000:GASOLINA 84;C1:1400:Diesel B5 S-50;C1:5000:GASOLINA 84;C1:5000:GASOLINA 90;C1:5000:Diesel B5 S-50;nan;nan;nan;nan;23800.0;22/09/2022;INDEFINIDO;LEONCIO CCORIMANYA USANDIVARES;720
